# cluster_id	shot	cam_x	cam_y	cam_z	yaw	pitch	env	time	aim_x	aim_y	aim_z	label	mode	fires	flash
1	detail1~aim~up20	-7711.6	79	-3173.9	223.02	49.31	Clear	0.64	-7730.1	47.5	-3193.7	Build 55acdcac		0	
3	detail1~up20~up20	340.8	93.3	4745.2	225	66.28	Clear	0.64	327.5	50.5	4731.9	Build 920590f4		0	
5	detail1~up20~o45	-7044	82.1	13407.9	359.51	40.52	Clear	0.64	-7044.3	55	13439.6	Build 6f00e332		0	
8	detail1~o45~o45	-111.6	77.7	-1812.6	44.09	18.11	Clear	0.64	-83.7	64.6	-1783.8	Build 9331bd62		0	
9	detail1~lo12	-5913.3	98.5	2226.2	225	38.23	Clear	0.64	-5945.7	62.4	2193.8	Build f6924293		0	
12	detail1~o45~up20	-755.5	88.6	-2123.9	359.57	38.22	Clear	0.64	-755.7	62.8	-2091.1	Build 6e3aac10		0	
15	detail1~o45	-2868.6	49.1	-727.2	359.52	18.19	Clear	0.64	-2868.9	35.9	-687	Build 267984d5		0	
17	detail1~up20~up20	-4118.7	158.6	343.7	210.23	80.59	Clear	0.64	-4127.5	53.1	328.6	Build e738e96f		0	
19	detail1~o45~o45	9665.1	85.6	7538.6	314.09	18.11	Clear	0.64	9636.3	72.5	7566.5	Build d9e4a425		0	
20	detail1~o45~up20	1254.2	63.9	4053.1	359.57	38.22	Clear	0.64	1254	38.1	4085.9	Build 13f58893		0	
21	detail1~up20~up20	-1200.4	113.9	1207.6	225	58.59	Clear	0.64	-1215.6	78.7	1192.4	Build cf2c2b4a		0	
24	detail1~o45	-1029.6	55.7	-1145.7	269.63	24.42	Clear	0.64	-1068.1	38.2	-1146	Build c6a0d5c4		0	
25	detail1	-999.9	56.4	983.3	315	18	Clear	0.64	-1028.5	43.3	1011.8	Build 68a72774		0	
26	detail1~o45~up20	-15001.3	95.3	-30.1	359.57	38.22	Clear	0.64	-15001.5	69.5	2.7	Build 3f338fc1		0	
28	detail1~up20~up20	-392.9	73.9	1481.6	225	58.59	Clear	0.64	-408.1	38.7	1466.4	Build 954a0a68		0	
29	detail1~up20~up20	1427.8	70.2	604.4	225	58.59	Clear	0.64	1412.6	35	589.2	Build 5bbbea9e		0	
31	detail1~aim~o45	-999.7	46.6	-2291.3	26.27	17.06	Clear	0.64	-981.8	34.2	-2255.1	Build 2adf8ac1		0	
40	detail1~aim~up20	-10356.6	156.6	10778.5	219.23	51.73	Clear	0.64	-10372.9	124	10758.6	Build abf3db6c		0	
41	detail1~o45~up20	10685.8	96.2	-12912.4	359.57	38.09	Clear	0.64	10685.6	70.5	-12879.6	Build 14b1e589		0	
42	detail1~c75~up20	-1171.8	139	6077.3	315	37.39	Clear	0.64	-1189.3	120	6094.8	Build 63ffb7cd		0	
43	detail1~up20~up20	9906.4	86.8	764.8	225	58.59	Clear	0.64	9891.2	51.6	749.6	Build 5a74ee4d		0	
45	detail1~up20~lo12	7287.3	58.2	-3629.9	315	26.05	Clear	0.64	7260.6	39.7	-3603.2	Build 5a5dd985		0	
46	detail1~up20~up20	3921.6	73.7	2937.9	225	58.59	Clear	0.64	3906.4	38.5	2922.7	Build 002c20e6		0	
47	detail1~aim~up20	-1013.1	65.1	1385.8	205.23	37.76	Clear	0.64	-1027.2	39.5	1355.9	Build dea1d8d2		0	
50	detail1~aim~aim	-122.1	104.6	-257.1	185.2	23.27	Clear	0.64	-125.8	89.4	-296.4	Build e0d7e01d		0	
51	detail1~aim~up20	-561.7	59.9	-2153	244.08	39.2	Clear	0.64	-590.8	33.5	-2167.1	Build e25280c0		0	
62	detail1~up20~up20	-12634.5	155	12469.6	315	79.68	Clear	0.64	-12642.9	89.8	12478	Build 6c63ea1b		0	
65	detail1~up20~up20	-2972.2	83.3	-422.3	315	58.36	Clear	0.64	-2987.5	48.1	-407	Build 3c91f0f4		0	
66	detail1~o45~o45	2220.6	52.9	-1205.3	44.09	18.11	Clear	0.64	2248.5	39.8	-1176.5	Build 88895272		0	
67	detail1~o45~o45	4715.7	58.3	1073.4	44.09	18.11	Clear	0.64	4743.6	45.2	1102.2	Build ea41e496		0	
68	detail1~o45~up20	-9762	70.6	-2687.7	359.56	42.73	Clear	0.64	-9762.2	42.3	-2657	Build b2b56518		0	
69	detail1~up20	-701.7	73.4	-7187.6	225	38.04	Clear	0.64	-725	47.7	-7210.9	Build 76c98f1a		0	
